IP ADDRESS,TIME,REQUEST,STATUS,BODY BYTES,HTTP REFERER,USER AGENT,HTTP X FORWARD
"('185.26.180.145', '03/Feb/2016:00:00:53 +0300', 'GET /wp-includes/js/jquery/jquery.js?ver=1.6.1 HTTP/1.0', '200', '31953')",2
"('185.26.180.145', '03/Feb/2016:00:00:53 +0300', 'GET /wp-includes/js/comment-reply.js?ver=20090102 HTTP/1.0', '200', '412')",2
"('185.26.180.145', '03/Feb/2016:00:00:54 +0300', 'GET /wp-content/themes/sark-press/javascript/bootstrap.min.js HTTP/1.0', '200', '7679')",2
"('185.26.180.145', '03/Feb/2016:00:00:54 +0300', 'GET /wp-content/themes/sark-press/javascript/sarkpress_script.js HTTP/1.0', '200', '137')",2
"('185.26.180.145', '03/Feb/2016:00:00:54 +0300', 'GET /favicon.ico HTTP/1.0', '200', '1406')",2
"('66.249.81.205', '03/Feb/2016:00:00:55 +0300', 'GET /trenirovki/kak-sest-na-shpagat-v-domashnix-usloviyax-uprazhneniya/ HTTP/1.0', '200', '21390')",2
"('66.249.81.205', '03/Feb/2016:00:00:55 +0300', 'GET /wp-content/themes/sark-press/stylesheet/bootstrap-theme.min.css?ver=20121010 HTTP/1.0', '200', '1747')",2
"('66.249.81.211', '03/Feb/2016:00:00:55 +0300', 'GET /wp-content/themes/sark-press/stylesheet/fonts.css?ver=20121010 HTTP/1.0', '403', '1450')",2
"('66.249.81.205', '03/Feb/2016:00:00:55 +0300', 'GET /wp-content/plugins/wp-pagenavi/pagenavi-css.css?ver=2.70 HTTP/1.0', '200', '239')",2
"('66.249.81.205', '03/Feb/2016:00:00:55 +0300', 'GET /wp-content/themes/sark-press/stylesheet/font-awesome.min.css?ver=20121010 HTTP/1.0', '200', '4015')",2
"('66.249.81.208', '03/Feb/2016:00:00:55 +0300', 'GET /wp-content/themes/sark-press/stylesheet/bootstrap.css?ver=20121010 HTTP/1.0', '403', '1450')",2
